"order","created","sku","tier","qty","current_qty","charged_unit","variant_price_now","line_discount","grouped","check"
"#48961","2026-07-17","full-assembly-installation-any-room-449","ANY_ROOM_ASSEMBLY(unmapped)",1,1,449.0,449.00,67.35,"UNGROUPED","MANUAL REVIEW: discount on service line"
"#48961","2026-07-17","full-assembly-installation-any-room-449","ANY_ROOM_ASSEMBLY(unmapped)",1,1,449.0,449.00,67.35,"UNGROUPED","MANUAL REVIEW: discount on service line"
"#48961","2026-07-17","full-assembly-installation-any-room-449","ANY_ROOM_ASSEMBLY(unmapped)",1,1,449.0,449.00,67.35,"UNGROUPED","MANUAL REVIEW: discount on service line"
"#48961","2026-07-17","full-assembly-installation-any-room-449","ANY_ROOM_ASSEMBLY(unmapped)",1,1,449.0,449.00,67.35,"UNGROUPED","MANUAL REVIEW: discount on service line"
"#48961","2026-07-17","full-assembly-installation-any-room-449","ANY_ROOM_ASSEMBLY(unmapped)",1,1,449.0,449.00,67.35,"UNGROUPED","MANUAL REVIEW: discount on service line"
"#48961","2026-07-17","full-assembly-installation-any-room-449","ANY_ROOM_ASSEMBLY(unmapped)",1,1,449.0,449.00,67.35,"UNGROUPED","MANUAL REVIEW: discount on service line"
"#48961","2026-07-17","full-assembly-installation-any-room-449","ANY_ROOM_ASSEMBLY(unmapped)",1,1,449.0,449.00,67.35,"UNGROUPED","MANUAL REVIEW: discount on service line"
"#48961","2026-07-17","full-assembly-installation-any-room-449","ANY_ROOM_ASSEMBLY(unmapped)",1,1,449.0,449.00,67.35,"UNGROUPED","MANUAL REVIEW: discount on service line"
"#48961","2026-07-17","full-assembly-installation-any-room-299","ANY_ROOM_ASSEMBLY(unmapped)",2,2,299.0,299.00,89.7,"UNGROUPED","MANUAL REVIEW: discount on service line"
"#48961","2026-07-17","full-assembly-installation-any-room-299","ANY_ROOM_ASSEMBLY(unmapped)",2,2,299.0,299.00,89.7,"UNGROUPED","MANUAL REVIEW: discount on service line"
"#48962","2026-07-17","full-assembly-installation-any-room-449","ANY_ROOM_ASSEMBLY(unmapped)",1,1,449.0,449.00,0.0,"grouped","PASS"
"#48965","2026-07-18","full-assembly-installation-any-room-449","ANY_ROOM_ASSEMBLY(unmapped)",1,1,449.0,449.00,0.0,"UNGROUPED","PASS"
"#48983","2026-07-20","room-of-choice-ground-level-0-3-steps-349","ROC_0_3",2,2,349.0,349.00,0.0,"UNGROUPED","PASS"
"#48983","2026-07-20","full-assembly-installation-any-room-449","ANY_ROOM_ASSEMBLY(unmapped)",1,1,449.0,449.00,0.0,"UNGROUPED","PASS"
"#48983","2026-07-20","room-of-choice-ground-level-0-3-steps-449","ROC_0_3",3,3,449.0,449.00,0.0,"UNGROUPED","PASS"
"#48983","2026-07-20","room-of-choice-ground-level-0-3-steps-399","ROC_0_3",2,2,399.0,399.00,0.0,"UNGROUPED","PASS"
"#48988","2026-07-20","full-assembly-installation-any-room-449","ANY_ROOM_ASSEMBLY(unmapped)",1,1,449.0,449.00,0.0,"grouped","PASS"
"#48990","2026-07-20","garage-delivery-no-unpacking-left-in-crate-100","GARAGE_NO_UNPACK(unmapped)",1,1,100.0,100.00,0.0,"UNGROUPED","PASS"
"#48993","2026-07-21","full-assembly-installation-any-room-250","ANY_ROOM_ASSEMBLY(unmapped)",1,1,250.0,250.00,0.0,"grouped","PASS"
"#48994","2026-07-21","garage-delivery-no-unpacking-left-in-crate-100","GARAGE_NO_UNPACK(unmapped)",1,1,100.0,100.00,0.0,"UNGROUPED","PASS"
"#48994","2026-07-21","garage-delivery-no-unpacking-left-in-crate-100","GARAGE_NO_UNPACK(unmapped)",1,1,100.0,100.00,0.0,"UNGROUPED","PASS"
"#49002","2026-07-21","room-of-choice-stair-carry-4-steps-499","ROC_4_PLUS",1,1,499.0,499.00,0.0,"UNGROUPED","PASS"
"#49002","2026-07-21","room-of-choice-stair-carry-4-steps-449","ROC_4_PLUS",1,1,449.0,449.00,0.0,"UNGROUPED","PASS"
"#49004","2026-07-21","full-assembly-installation-any-room-449","ANY_ROOM_ASSEMBLY(unmapped)",1,1,449.0,449.00,0.0,"grouped","PASS"
"#49007","2026-07-21","full-assembly-installation-any-room-250","ANY_ROOM_ASSEMBLY(unmapped)",1,0,250.0,250.00,0.0,"UNGROUPED","REMOVED (edited out)"
"#49013","2026-07-22","garage-installation-249","GARAGE",1,1,249.0,249.00,124.5,"UNGROUPED","MANUAL REVIEW: discount on service line"
"#49015","2026-07-22","room-of-choice-ground-level-0-3-steps-399","ROC_0_3",1,1,399.0,399.00,0.0,"UNGROUPED","PASS"
"#49016","2026-07-22","full-assembly-installation-any-room-449","ANY_ROOM_ASSEMBLY(unmapped)",1,1,449.0,449.00,0.0,"grouped","PASS"
"#49023","2026-07-23","garage-installation-249","GARAGE",1,1,249.0,249.00,0.0,"grouped","PASS"
"#49026","2026-07-23","garage-installation-249","GARAGE",1,0,249.0,249.00,0.0,"grouped","REMOVED (edited out)"
"#49035","2026-07-23","full-assembly-installation-any-room-449","ANY_ROOM_ASSEMBLY(unmapped)",1,1,449.0,449.00,0.0,"UNGROUPED","PASS"
"#49038","2026-07-24","garage-installation-249","GARAGE",1,1,249.0,249.00,0.0,"grouped","PASS"
"#49043","2026-07-25","garage-delivery-no-unpacking-left-in-crate-100","GARAGE_NO_UNPACK(unmapped)",1,0,100.0,100.00,0.0,"UNGROUPED","REMOVED (edited out)"
"#49046","2026-07-25","room-of-choice-ground-level-0-3-steps-449","ROC_0_3",1,0,449.0,449.00,0.0,"grouped","REMOVED (edited out)"
"#49046","2026-07-25","room-of-choice-ground-level-0-3-steps-399","ROC_0_3",1,1,399.0,399.00,0.0,"UNGROUPED","PASS"
"#49049","2026-07-25","room-of-choice-stair-carry-4-steps-449","ROC_4_PLUS",1,1,449.0,449.00,0.0,"grouped","PASS"
"#49056","2026-07-26","room-of-choice-ground-level-0-3-steps-449","ROC_0_3",1,1,449.0,449.00,0.0,"grouped","PASS"
"#49060","2026-07-27","full-assembly-installation-any-room-299","ANY_ROOM_ASSEMBLY(unmapped)",1,1,299.0,299.00,0.0,"UNGROUPED","PASS"
"#49060","2026-07-27","full-assembly-installation-any-room-349","ANY_ROOM_ASSEMBLY(unmapped)",1,1,349.0,349.00,0.0,"UNGROUPED","PASS"
"#49060","2026-07-27","full-assembly-installation-any-room-299","ANY_ROOM_ASSEMBLY(unmapped)",1,1,299.0,299.00,0.0,"UNGROUPED","PASS"
"#49060","2026-07-27","full-assembly-installation-any-room-299","ANY_ROOM_ASSEMBLY(unmapped)",1,1,299.0,299.00,0.0,"UNGROUPED","PASS"
"#49060","2026-07-27","full-assembly-installation-any-room-449","ANY_ROOM_ASSEMBLY(unmapped)",1,1,449.0,449.00,0.0,"UNGROUPED","PASS"
"#49060","2026-07-27","full-assembly-installation-any-room-699","ANY_ROOM_ASSEMBLY(unmapped)",1,1,699.0,699.00,0.0,"UNGROUPED","PASS"
"#49060","2026-07-27","full-assembly-installation-any-room-449","ANY_ROOM_ASSEMBLY(unmapped)",1,1,449.0,449.00,0.0,"UNGROUPED","PASS"
"#49060","2026-07-27","full-assembly-installation-any-room-299","ANY_ROOM_ASSEMBLY(unmapped)",1,1,299.0,299.00,0.0,"UNGROUPED","PASS"
"#49061","2026-07-27","garage-delivery-no-unpacking-left-in-crate-100","GARAGE_NO_UNPACK(unmapped)",1,1,100.0,100.00,0.0,"grouped","PASS"
"#49066","2026-07-28","full-assembly-installation-any-room-399","ANY_ROOM_ASSEMBLY(unmapped)",1,1,399.0,399.00,0.0,"UNGROUPED","PASS"
"#49067","2026-07-28","full-assembly-installation-any-room-399","ANY_ROOM_ASSEMBLY(unmapped)",1,1,399.0,399.00,0.0,"UNGROUPED","PASS"
"#49070","2026-07-28","room-of-choice-ground-level-0-3-steps-499","ROC_0_3",1,0,499.0,499.00,0.0,"grouped","REMOVED (edited out)"
"#49071","2026-07-28","garage-installation-299","GARAGE",1,1,299.0,299.00,0.0,"grouped","PASS"
"#49083","2026-07-29","room-of-choice-ground-level-0-3-steps-349","ROC_0_3",1,1,349.0,349.00,0.0,"grouped","PASS"
"#49090","2026-07-30","full-assembly-installation-any-room-299","ANY_ROOM_ASSEMBLY(unmapped)",1,1,299.0,299.00,0.0,"grouped","PASS"
"#49099","2026-07-30","full-assembly-installation-any-room-649","ANY_ROOM_ASSEMBLY(unmapped)",1,1,649.0,649.00,324.5,"UNGROUPED","MANUAL REVIEW: discount on service line"
"#49101","2026-07-30","full-assembly-installation-any-room-349","ANY_ROOM_ASSEMBLY(unmapped)",1,1,349.0,349.00,0.0,"grouped","PASS"
"#49106","2026-07-31","full-assembly-installation-any-room-250","ANY_ROOM_ASSEMBLY(unmapped)",1,1,250.0,250.00,0.0,"grouped","PASS"
"#49111","2026-08-01","garage-installation-499","GARAGE",1,1,499.0,499.00,0.0,"grouped","PASS"
"#49112","2026-08-01","full-assembly-installation-any-room-250","ANY_ROOM_ASSEMBLY(unmapped)",1,1,250.0,250.00,0.0,"UNGROUPED","PASS"
"#49118","2026-08-01","garage-delivery-no-unpacking-left-in-crate-100","GARAGE_NO_UNPACK(unmapped)",1,1,100.0,100.00,0.0,"UNGROUPED","PASS"
"#49124","2026-08-02","room-of-choice-ground-level-0-3-steps-499","ROC_0_3",1,1,499.0,499.00,0.0,"grouped","PASS"
"#49126","2026-08-02","garage-installation-299","GARAGE",1,1,299.0,299.00,0.0,"grouped","PASS"
"#49128","2026-08-02","garage-installation-349","GARAGE",1,1,349.0,349.00,0.0,"grouped","PASS"
"#49135","2026-08-03","full-assembly-installation-any-room-399","ANY_ROOM_ASSEMBLY(unmapped)",1,1,399.0,399.00,0.0,"grouped","PASS"
"#49138","2026-08-03","full-assembly-installation-any-room-449","ANY_ROOM_ASSEMBLY(unmapped)",1,1,449.0,449.00,0.0,"grouped","PASS"
"#49139","2026-08-03","garage-delivery-no-unpacking-left-in-crate-100","GARAGE_NO_UNPACK(unmapped)",1,1,100.0,100.00,0.0,"UNGROUPED","PASS"
"#49140","2026-08-03","full-assembly-installation-any-room-449","ANY_ROOM_ASSEMBLY(unmapped)",1,1,449.0,449.00,224.5,"UNGROUPED","MANUAL REVIEW: discount on service line"
"#49140","2026-08-03","full-assembly-installation-any-room-449","ANY_ROOM_ASSEMBLY(unmapped)",1,1,449.0,449.00,224.5,"UNGROUPED","MANUAL REVIEW: discount on service line"
"#49142","2026-08-03","room-of-choice-ground-level-0-3-steps-449","ROC_0_3",1,1,449.0,449.00,0.0,"grouped","PASS"
"#49149","2026-08-04","room-of-choice-ground-level-0-3-steps-349","ROC_0_3",1,1,349.0,349.00,0.0,"UNGROUPED","PASS"
"#49153","2026-08-05","garage-installation-249","GARAGE",1,1,249.0,249.00,0.0,"UNGROUPED","PASS"
"#49156","2026-08-05","full-assembly-installation-any-room-449","ANY_ROOM_ASSEMBLY(unmapped)",1,1,449.0,449.00,0.0,"grouped","PASS"
"#49167","2026-08-06","full-assembly-installation-any-room-250","ANY_ROOM_ASSEMBLY(unmapped)",1,1,250.0,250.00,0.0,"UNGROUPED","PASS"
"#49168","2026-08-06","full-assembly-installation-any-room-250","ANY_ROOM_ASSEMBLY(unmapped)",1,1,250.0,250.00,0.0,"UNGROUPED","PASS"
"#49169","2026-08-06","room-of-choice-stair-carry-4-steps-599","ROC_4_PLUS",1,1,599.0,599.00,0.0,"UNGROUPED","PASS"
"#49170","2026-08-06","full-assembly-installation-any-room-250","ANY_ROOM_ASSEMBLY(unmapped)",1,1,250.0,250.00,0.0,"grouped","PASS"
"#49180","2026-08-07","full-assembly-installation-any-room-649","ANY_ROOM_ASSEMBLY(unmapped)",1,1,649.0,649.00,324.5,"UNGROUPED","MANUAL REVIEW: discount on service line"
"#49180","2026-08-07","full-assembly-installation-any-room-299","ANY_ROOM_ASSEMBLY(unmapped)",1,1,299.0,299.00,149.5,"UNGROUPED","MANUAL REVIEW: discount on service line"
"#49187","2026-08-08","room-of-choice-stair-carry-4-steps-549","ROC_4_PLUS",1,1,549.0,549.00,0.0,"grouped","PASS"
"#49189","2026-08-08","full-assembly-installation-any-room-399","ANY_ROOM_ASSEMBLY(unmapped)",1,1,399.0,399.00,0.0,"grouped","PASS"
"#49195","2026-08-09","room-of-choice-ground-level-0-3-steps-399","ROC_0_3",1,1,399.0,399.00,0.0,"grouped","PASS"
"#49199","2026-08-10","room-of-choice-ground-level-0-3-steps-349","ROC_0_3",1,1,349.0,349.00,0.0,"UNGROUPED","PASS"
"#49205","2026-08-10","full-assembly-installation-any-room-399","ANY_ROOM_ASSEMBLY(unmapped)",1,1,399.0,399.00,0.0,"UNGROUPED","PASS"
"#49207","2026-08-10","room-of-choice-stair-carry-4-steps-599","ROC_4_PLUS",1,1,599.0,599.00,0.0,"UNGROUPED","PASS"
"#49209","2026-08-11","room-of-choice-ground-level-0-3-steps-349","ROC_0_3",1,1,349.0,349.00,0.0,"grouped","PASS"
"#49222","2026-08-12","room-of-choice-stair-carry-4-steps-599","ROC_4_PLUS",1,1,599.0,599.00,0.0,"grouped","PASS"
"#49227","2026-08-13","garage-delivery-no-unpacking-left-in-crate-100","GARAGE_NO_UNPACK(unmapped)",1,1,100.0,100.00,0.0,"grouped","PASS"
"#49229","2026-08-13","room-of-choice-ground-level-0-3-steps-349","ROC_0_3",1,1,349.0,349.00,0.0,"grouped","PASS"
"#49242","2026-08-15","full-assembly-installation-any-room-250","ANY_ROOM_ASSEMBLY(unmapped)",1,1,250.0,250.00,0.0,"grouped","PASS"
"#49247","2026-08-15","room-of-choice-stair-carry-4-steps-599","ROC_4_PLUS",1,1,599.0,599.00,0.0,"grouped","PASS"
"#49249","2026-08-15","garage-installation-249","GARAGE",1,1,249.0,249.00,17.43,"UNGROUPED","MANUAL REVIEW: discount on service line"
"#49249","2026-08-15","garage-installation-349","GARAGE",1,1,349.0,349.00,24.43,"UNGROUPED","MANUAL REVIEW: discount on service line"
"#49250","2026-08-15","garage-installation-299","GARAGE",1,1,299.0,299.00,0.0,"grouped","PASS"
"#49253","2026-08-16","full-assembly-installation-any-room-399","ANY_ROOM_ASSEMBLY(unmapped)",1,1,399.0,399.00,0.0,"grouped","PASS"
"#49255","2026-08-17","garage-installation-399","GARAGE",1,1,399.0,399.00,0.0,"grouped","PASS"
"#49258","2026-08-17","full-assembly-installation-any-room-649","ANY_ROOM_ASSEMBLY(unmapped)",1,1,649.0,649.00,0.0,"grouped","PASS"
"#49259","2026-08-17","garage-installation-299","GARAGE",1,1,299.0,299.00,0.0,"grouped","PASS"
"#49260","2026-08-17","room-of-choice-ground-level-0-3-steps-399","ROC_0_3",1,0,399.0,399.00,0.0,"UNGROUPED","REMOVED (edited out)"
"#49260","2026-08-17","room-of-choice-ground-level-0-3-steps-349","ROC_0_3",1,1,349.0,349.00,0.0,"UNGROUPED","PASS"
"#49261","2026-08-17","garage-installation-399","GARAGE",1,1,399.0,399.00,0.0,"UNGROUPED","PASS"
"#49263","2026-08-18","full-assembly-installation-any-room-649","ANY_ROOM_ASSEMBLY(unmapped)",1,1,649.0,649.00,0.0,"UNGROUPED","PASS"
"#49271","2026-08-18","full-assembly-installation-any-room-449","ANY_ROOM_ASSEMBLY(unmapped)",1,1,449.0,449.00,0.0,"UNGROUPED","PASS"
"#49274","2026-08-19","room-of-choice-ground-level-0-3-steps-449","ROC_0_3",1,1,449.0,449.00,0.0,"grouped","PASS"
"#49278","2026-08-19","full-assembly-installation-any-room-549","ANY_ROOM_ASSEMBLY(unmapped)",1,1,549.0,549.00,0.0,"UNGROUPED","PASS"
"#49285","2026-08-20","room-of-choice-stair-carry-4-steps-549","ROC_4_PLUS",1,1,549.0,549.00,0.0,"UNGROUPED","PASS"
"#49288","2026-08-20","room-of-choice-ground-level-0-3-steps-499","ROC_0_3",1,1,499.0,499.00,174.65,"UNGROUPED","MANUAL REVIEW: discount on service line"
"#49290","2026-08-20","room-of-choice-ground-level-0-3-steps-449","ROC_0_3",1,1,449.0,449.00,0.0,"UNGROUPED","PASS"
"#49291","2026-08-20","garage-delivery-no-unpacking-left-in-crate-100","GARAGE_NO_UNPACK(unmapped)",1,1,100.0,100.00,0.0,"grouped","PASS"
"#49297","2026-08-21","room-of-choice-ground-level-0-3-steps-449","ROC_0_3",1,1,449.0,449.00,0.0,"grouped","PASS"
"#49297","2026-08-21","room-of-choice-ground-level-0-3-steps-349","ROC_0_3",1,1,349.0,349.00,0.0,"grouped","PASS"
"#49300","2026-08-21","room-of-choice-stair-carry-4-steps-699","ROC_4_PLUS",2,2,699.0,699.00,0.0,"UNGROUPED","PASS"
"#49308","2026-08-22","full-assembly-installation-any-room-399","ANY_ROOM_ASSEMBLY(unmapped)",1,1,399.0,399.00,0.0,"grouped","PASS"
"#49313","2026-08-23","garage-delivery-no-unpacking-left-in-crate-100","GARAGE_NO_UNPACK(unmapped)",1,1,100.0,100.00,0.0,"grouped","PASS"
"#49315","2026-08-23","garage-installation-349","GARAGE",1,1,349.0,349.00,0.0,"grouped","PASS"
"#49317","2026-08-24","room-of-choice-ground-level-0-3-steps-499","ROC_0_3",1,1,499.0,499.00,0.0,"grouped","PASS"
"#49318","2026-08-24","garage-delivery-no-unpacking-left-in-crate-100","GARAGE_NO_UNPACK(unmapped)",1,1,100.0,100.00,0.0,"UNGROUPED","PASS"
"#49321","2026-08-24","full-assembly-installation-any-room-499","ANY_ROOM_ASSEMBLY(unmapped)",1,1,499.0,499.00,0.0,"UNGROUPED","PASS"
"#49321","2026-08-24","full-assembly-installation-any-room-399","ANY_ROOM_ASSEMBLY(unmapped)",1,1,399.0,399.00,0.0,"UNGROUPED","PASS"
"#49332","2026-08-25","garage-delivery-no-unpacking-left-in-crate-100","GARAGE_NO_UNPACK(unmapped)",1,1,100.0,100.00,0.0,"UNGROUPED","PASS"
"#49332","2026-08-25","room-of-choice-ground-level-0-3-steps-499","ROC_0_3",1,1,499.0,499.00,0.0,"UNGROUPED","PASS"
"#49337","2026-08-26","room-of-choice-ground-level-0-3-steps-449","ROC_0_3",2,2,449.0,449.00,0.0,"UNGROUPED","PASS"
"#49338","2026-08-26","full-assembly-installation-any-room-399","ANY_ROOM_ASSEMBLY(unmapped)",1,1,399.0,399.00,0.0,"UNGROUPED","PASS"
