entry_id,product_title,handle,updated,fields_filled,is_duplicate_twin,disposition,reason
136333099324,Body-Solid MB148A Aluminum Lat Bar (New),body-solid-mb-148-a-aluminum-lat-bar-new,2025-03-07,4,no,HOLD,has content but 0 products; verify with catalog/merch before any action
136378384700,Bowflex M8 Max Trainer (Remanufactured),bowflex-m-8-max-trainer-remanufactured,2025-03-08,4,no,HOLD,has content but 0 products; verify with catalog/merch before any action
136384315708,StairMaster Boxmaster Pro Quad (New),stair-master-boxmaster-pro-quad-new,2025-03-08,4,no,HOLD,has content but 0 products; verify with catalog/merch before any action
136669528380,BodyCraft  F603 Flat / Incline Utility Bench for Free Weights (New),body-craft-f-603-flat-incline-utility-bench-for-free-weights-new,2025-03-11,4,no,HOLD,has content but 0 products; verify with catalog/merch before any action
136150483260,Body Solid BSTVD10 Vinyl Dumbbell 10 lbs. Orange (New),body-solid-bstvd-10-vinyl-dumbbell-10-lbs-orange-new,2025-03-11,4,no,HOLD,has content but 0 products; verify with catalog/merch before any action
136683979068,Body Solid BSTFB12 Fitness Bar 12 lbs. - Green (New),body-solid-bstfb-12-fitness-bar-12-lbs-green-new,2025-03-23,4,no,HOLD,has content but 0 products; verify with catalog/merch before any action
136684273980,Body Solid BSTFB15 Fitness Bar 15 lbs. - Red (New),body-solid-bstfb-15-fitness-bar-15-lbs-red-new,2025-03-23,4,no,HOLD,has content but 0 products; verify with catalog/merch before any action
136684634428,Body Solid BSTFB18 Fitness Bar 18 lbs. - Blue (New),body-solid-bstfb-18-fitness-bar-18-lbs-blue-new,2025-03-23,4,no,HOLD,has content but 0 products; verify with catalog/merch before any action
136684798268,Body Solid BSTFB24 Fitness Bar 24 lbs. - Purple (New),body-solid-bstfb-24-fitness-bar-24-lbs-purple-new,2025-03-23,4,no,HOLD,has content but 0 products; verify with catalog/merch before any action
136684994876,Body Solid BSTFB30 Fitness Bar 30 lbs. - Magenta (New),body-solid-bstfb-30-fitness-bar-30-lbs-magenta-new,2025-03-24,4,no,HOLD,has content but 0 products; verify with catalog/merch before any action
136685093180,Body Solid BSTFB36 Fitness Bar 36 lbs. - Gray (New),body-solid-bstfb-36-fitness-bar-36-lbs-gray-new,2025-03-24,4,no,HOLD,has content but 0 products; verify with catalog/merch before any action
136685289788,Body Solid BSTFB4 Fitness Bar 4 lbs. - Orange (New),body-solid-bstfb-4-fitness-bar-4-lbs-orange-new,2025-03-24,4,no,HOLD,has content but 0 products; verify with catalog/merch before any action
136685388092,Body Solid BSTFB6 Fitness Bar 6 lbs. - Light Purple (New),body-solid-bstfb-6-fitness-bar-6-lbs-light-purple-new,2025-03-24,4,no,HOLD,has content but 0 products; verify with catalog/merch before any action
136685814076,Body Solid BSTFB9 Fitness Bar 9 lbs. - Yellow (New),body-solid-bstfb-9-fitness-bar-9-lbs-yellow-new,2025-03-24,4,no,HOLD,has content but 0 products; verify with catalog/merch before any action
136074527036,Body Solid BSTND1 1 lb. Body-Solid Neoprene Dumbbell (New),body-solid-bstnd-1-1-lb-body-solid-neoprene-dumbbell-new,2025-03-25,5,no,HOLD,has content but 0 products; verify with catalog/merch before any action
136074592572,Body Solid BSTND10 Neoprene Dumbbell- 10 lbs. Orange (New),body-solid-bstnd-10-neoprene-dumbbell-10-lbs-orange-new,2025-03-25,5,no,HOLD,has content but 0 products; verify with catalog/merch before any action
136074756412,Body Solid BSTND12 Neoprene Dumbbell- 12 lbs. Pink (New),body-solid-bstnd-12-neoprene-dumbbell-12-lbs-pink-new,2025-03-25,5,no,HOLD,has content but 0 products; verify with catalog/merch before any action
136074821948,Body Solid BSTND15 Neoprene Dumbbell- 15 lbs. Gray (New),body-solid-bstnd-15-neoprene-dumbbell-15-lbs-gray-new,2025-03-25,5,no,HOLD,has content but 0 products; verify with catalog/merch before any action
136074953020,Body Solid BSTND2 Neoprene Dumbbell- 2 lbs. Light Purple (New),body-solid-bstnd-2-neoprene-dumbbell-2-lbs-light-purple-new,2025-03-25,5,no,HOLD,has content but 0 products; verify with catalog/merch before any action
136075575612,Body Solid BSTND3 Neoprene Dumbbell- 3 lbs. Green (New),body-solid-bstnd-3-neoprene-dumbbell-3-lbs-green-new,2025-03-25,5,no,HOLD,has content but 0 products; verify with catalog/merch before any action
135512162620,Body Solid BSTND4 Neoprene Dumbbell- 4 lbs. Light Gray (New),body-solid-bstnd-4-neoprene-dumbbell-4-lbs-light-gray-new,2025-03-25,5,no,HOLD,has content but 0 products; verify with catalog/merch before any action
136075673916,Body Solid BSTND5 Neoprene Dumbbell- 5 lbs. Blue (New),body-solid-bstnd-5-neoprene-dumbbell-5-lbs-blue-new,2025-03-25,5,no,HOLD,has content but 0 products; verify with catalog/merch before any action
136075706684,Body Solid BSTND6 Neoprene Dumbbell- 6 lbs. Red (New),body-solid-bstnd-6-neoprene-dumbbell-6-lbs-red-new,2025-03-25,5,no,HOLD,has content but 0 products; verify with catalog/merch before any action
136075804988,Body Solid BSTND7 Neoprene Dumbbell- 7 lbs. Purple (New),body-solid-bstnd-7-neoprene-dumbbell-7-lbs-purple-new,2025-03-25,5,no,HOLD,has content but 0 products; verify with catalog/merch before any action
136075968828,Body Solid BSTND8 Neoprene Dumbbell- 8 lbs. Black (New),body-solid-bstnd-8-neoprene-dumbbell-8-lbs-black-new,2025-03-25,5,no,HOLD,has content but 0 products; verify with catalog/merch before any action
136076001596,Body Solid BSTND9 Neoprene Dumbbell- 9 lbs. Yellow (New),body-solid-bstnd-9-neoprene-dumbbell-9-lbs-yellow-new,2025-03-25,5,no,HOLD,has content but 0 products; verify with catalog/merch before any action
136077312316,Body-Solid BSTNDS110 Neoprene Dumbbell 1-10 lbs. Set (New),body-solid-bstnds-110-neoprene-dumbbell-1-10-lbs-set-new,2025-03-29,6,no,HOLD,has content but 0 products; verify with catalog/merch before any action
136135835964,Body-Solid BSTNDS164 Neoprene Dumbbell 1-15 lbs. Set (New),body-solid-bstnds-164-neoprene-dumbbell-1-15-lbs-set-new,2025-03-29,6,no,HOLD,has content but 0 products; verify with catalog/merch before any action
145420648764,Throwdown HIIT Ski (New),throwdown-hiit-ski-new,2025-04-14,5,no,HOLD,has content but 0 products; verify with catalog/merch before any action
138179936572,Body-Solid EXM2500s Home Gym (New),body-solid-exm-2500-s-home-gym-new,2025-04-24,7,no,HOLD,has content but 0 products; verify with catalog/merch before any action
146687754556,Star Trac 8 Series Versastrider w/LCD - Black (New),star-trac-8-series-versastrider-w-lcd-black-new,2025-04-25,6,no,HOLD,has content but 0 products; verify with catalog/merch before any action
136384184636,StairMaster Boxmaster Pro Tower (New),stair-master-boxmaster-pro-tower-new,2025-06-26,6,no,HOLD,has content but 0 products; verify with catalog/merch before any action
176448995644,French Fitness FSR90 Functional Trainer Smith & Squat Rack Machine ,french-fitness-fsr-90-functional-trainer-smith-squat-rack-machine,2025-09-03,1,no,ARCHIVE CANDIDATE,"near-empty / test stub, 0 products"
136817377596,Nautilus Instinct Biceps Curl 9NL-S5100-60ARS (New),nautilus-instinct-biceps-curl-9-nl-s-5100-60-ars-new,2025-10-15,9,no,HOLD,has content but 0 products; verify with catalog/merch before any action
187270070588,French Fitness Speed & Agility Hurdle Set of 12 (New),french-fitness-speed-agility-hurdle-set-of-12-new,2025-10-23,2,no,ARCHIVE CANDIDATE,"near-empty / test stub, 0 products"
135526220092,Body Solid GDR500-NEOPACK Neoprene Dumbbell Package (New),body-solid-gdr-500-neopack-neoprene-dumbbell-package-new,2025-10-26,5,no,HOLD,has content but 0 products; verify with catalog/merch before any action
136045953340,Body Solid BFDR10 Best Fitness Dumbbell Rack (New),body-solid-bfdr-10-best-fitness-dumbbell-rack-new,2025-10-26,4,no,HOLD,has content but 0 products; verify with catalog/merch before any action
136059126076,Body-Solid BFVK10R Best Fitness Vertical Knee Raise (New),body-solid-bfvk-10-r-best-fitness-vertical-knee-raise-new,2025-10-26,4,no,HOLD,has content but 0 products; verify with catalog/merch before any action
136177156412,Body-Solid G9S Selectorized 2 Stack Multi Gym (New),body-solid-g-9-s-selectorized-2-stack-multi-gym-new,2025-10-26,5,no,HOLD,has content but 0 products; verify with catalog/merch before any action
136186495292,Body-Solid GCEC340 Cam Series Leg Extension & Curl (New),body-solid-gcec-340-cam-series-leg-extension-curl-new,2025-10-26,4,no,HOLD,has content but 0 products; verify with catalog/merch before any action
136188854588,Body-Solid GDCC200 Functional Training Center 200 (New),body-solid-gdcc-200-functional-training-center-200-new,2025-10-26,4,no,HOLD,has content but 0 products; verify with catalog/merch before any action
136232501564,"Body Solid GDR34 3 Tier Horizontal 34"" Vinyl or Neoprene Dumbbell Rack (New)",body-solid-gdr-34-3-tier-horizontal-34-vinyl-or-neoprene-dumbbell-rack-new,2025-10-26,4,no,HOLD,has content but 0 products; verify with catalog/merch before any action
136259895612,Body-Solid GHYP345 45 Degree Back Hyperextension (New),body-solid-ghyp-345-45-degree-back-hyperextension-new,2025-10-26,4,no,HOLD,has content but 0 products; verify with catalog/merch before any action
136184365372,French Fitness Rack & Rig Wall Ball Target Attachment (New),french-fitness-rack-rig-wall-ball-target-attachment-new,2025-10-26,4,no,HOLD,has content but 0 products; verify with catalog/merch before any action
136233648444,Body Solid GDR44 Vertical Dumbbell Rack (New),body-solid-gdr-44-vertical-dumbbell-rack-new,2025-10-26,4,no,HOLD,has content but 0 products; verify with catalog/merch before any action
136277229884,Body-Solid GS348Q Series 7 Linear Bearing Smith (New),body-solid-gs-348-q-series-7-linear-bearing-smith-new,2025-10-26,4,no,HOLD,has content but 0 products; verify with catalog/merch before any action
136261828924,Body-Solid GLCE365 Seated Leg Extension & Supine Curl (New),body-solid-glce-365-seated-leg-extension-supine-curl-new,2025-10-26,4,no,HOLD,has content but 0 products; verify with catalog/merch before any action
136274903356,Body-Solid GPM65 Plate Loaded Pec Fly / Rear Delt Machine (New),body-solid-gpm-65-plate-loaded-pec-fly-rear-delt-machine-new,2025-10-26,4,no,HOLD,has content but 0 products; verify with catalog/merch before any action
136277328188,Body-Solid GS348QP4 Series 7 Smith Gym System (New),body-solid-gs-348-qp-4-series-7-smith-gym-system-new,2025-10-26,5,no,HOLD,has content but 0 products; verify with catalog/merch before any action
136282210620,Body-Solid GVKR60 VKR Vertical Knee Raise & Dip (New),body-solid-gvkr-60-vkr-vertical-knee-raise-dip-new,2025-10-26,4,no,HOLD,has content but 0 products; verify with catalog/merch before any action
136283554108,"Body-Solid GVKR82 Deluxe VKR Vertical Knee Raise, Dip, Pull Up (New)",body-solid-gvkr-82-deluxe-vkr-vertical-knee-raise-dip-pull-up-new,2025-10-26,4,no,HOLD,has content but 0 products; verify with catalog/merch before any action
136278114620,Body-Solid GSCR349 Commercial Seated Calf Raise (New),body-solid-gscr-349-commercial-seated-calf-raise-new,2025-10-26,4,no,HOLD,has content but 0 products; verify with catalog/merch before any action
136356266300,Body-Solid SDIB370 Bench Rack Combo (New),body-solid-sdib-370-bench-rack-combo-new,2025-10-26,4,no,HOLD,has content but 0 products; verify with catalog/merch before any action
145529930044,Star Trac 8 Series TRX Treadmill w/LCD - Black  (New),star-trac-8-series-trx-treadmill-w-lcd-black-new,2025-10-26,6,no,HOLD,has content but 0 products; verify with catalog/merch before any action
145531404604,Star Trac 8 Series TR Treadmill w/LCD - Black  (New),star-trac-8-series-tr-treadmill-w-lcd-black-new,2025-10-26,6,no,HOLD,has content but 0 products; verify with catalog/merch before any action
146689786172,Star Trac 8 Series Recumbent Bike w/LCD - Black (New),star-trac-8-series-recumbent-bike-w-lcd-black-new,2025-10-26,6,no,HOLD,has content but 0 products; verify with catalog/merch before any action
145592353084,Star Trac 10 Series Freerunner w/LCD  (New),star-trac-10-series-freerunner-w-lcd-new,2025-10-26,6,no,HOLD,has content but 0 products; verify with catalog/merch before any action
146688639292,Star Trac 8 Series Upright Bike w/LCD - Black (New),star-trac-8-series-upright-bike-w-lcd-black-new,2025-10-26,6,no,HOLD,has content but 0 products; verify with catalog/merch before any action
146690343228,Star Trac 8 Series Rear Drive Elliptical w/LCD - Black (New),star-trac-8-series-rear-drive-elliptical-w-lcd-black-new,2025-10-26,6,no,HOLD,has content but 0 products; verify with catalog/merch before any action
146691850556,Star Trac 8 Series Cross Trainer w/LCD - Black (New),star-trac-8-series-cross-trainer-w-lcd-black-new,2025-10-26,6,no,HOLD,has content but 0 products; verify with catalog/merch before any action
201781215548,test,test,2025-11-27,2,no,ARCHIVE CANDIDATE,"near-empty / test stub, 0 products"
227280650556,French Fitness Rack & Rig Angled Junction Bars (New),french-fitness-rack-rig-ff-rr-ajb-angled-junction-bars-new,2026-02-05,7,no,HOLD,has content but 0 products; verify with catalog/merch before any action
227850387772,Schwinn Aetherion+ R 9-7612-AETH-R-ZONE Bike w/Zone Display (New),schwinn-aetherion-r-bike-zone-display-new,2026-02-09,9,no,HOLD,has content but 0 products; verify with catalog/merch before any action
236038488380,VersaClimber Home w/Touch Screen (New),versa-climber-home-w-touch-screen-new,2026-03-19,4,no,HOLD,has content but 0 products; verify with catalog/merch before any action
249920291132,French Fitness Artificial Grass Synthetic Lawn Turf Flooring Roll 82' x 6.5' – V1 Base (New),french-fitness-artificial-gym-turf-flooring-roll-82-x-6-5-standard,2026-04-25,8,no,HOLD,has content but 0 products; verify with catalog/merch before any action
265257058620,French Fitness Gym Package - Build Your Own Gym,french-fitness-gym-package-build-your-own-gym-1,2026-05-27,1,no,ARCHIVE CANDIDATE,"near-empty / test stub, 0 products"
