metaobject_id,handle,display_name,referencing_products,live_referencing_products,populated_field_count,true_duplicate_group,identical_content_group,disposition,reason,risk,needs_tim_approval
136046707004,body-solid-b-3-u-endurance-self-generating-upright-bike-new,Body-Solid B3U Endurance Self Generating Upright Bike (New),1,0,4,,,ARCHIVE CANDIDATE,Referenced only by non-live products (statuses: ARCHIVED). No customer-facing surface.,Medium - archiving/reactivating the product later would need the record back.,YES
136048738620,body-solid-b-4-rb-endurance-recumbent-bike-new,Body-Solid B4RB Endurance Recumbent Bike (New),1,1,4,,,KEEP,"Live, single-product record, 4 fields populated. Healthy.",n/a - no change proposed.,NO
136049164604,body-solid-b-4-ub-endurance-upright-bike-new,Body-Solid B4UB Endurance Upright Bike (New),1,1,4,,,KEEP,"Live, single-product record, 4 fields populated. Healthy.",n/a - no change proposed.,NO
136049492284,body-solid-bb-23-bicep-bomber-new,Body-Solid BB23 Bicep Bomber (New),1,1,4,,,KEEP,"Live, single-product record, 4 fields populated. Healthy.",n/a - no change proposed.,NO
136049623356,body-solid-bc-2-extra-pair-of-bar-catches-for-ppr-200-x-and-bfpr-100-new,Body-Solid BC2 Extra Pair of Bar Catches for PPR200X and BFPR100 (New),0,0,3,,,ARCHIVE CANDIDATE,Orphan: zero back-reference metafields; no live template can reach it.,Low - nothing renders it. Recoverable only from the export in this packet.,YES
136046149948,body-solid-best-fitness-bfmg-30-multi-station-home-gym-new,Body Solid Best Fitness BFMG30 Multi-Station Home Gym (New),1,0,4,,,ARCHIVE CANDIDATE,Referenced only by non-live products (statuses: ARCHIVED). No customer-facing surface.,Medium - archiving/reactivating the product later would need the record back.,YES
136054538556,body-solid-best-fitness-bfpr-10-olympic-press-stand-new,Body-Solid Best Fitness BFPR10 Olympic Press Stand (New),1,1,4,,,KEEP,"Live, single-product record, 4 fields populated. Healthy.",n/a - no change proposed.,NO
136050442556,body-solid-bfab-10-b-best-fitness-ab-board-new,Body-Solid BFAB10B Best Fitness Ab Board (New),1,1,4,,,KEEP,"Live, single-product record, 4 fields populated. Healthy.",n/a - no change proposed.,NO
136049688892,body-solid-bfab-10-best-fitness-ab-board-new,Body-Solid BFAB10 Best Fitness Ab Board (New),1,1,4,,,KEEP,"Live, single-product record, 4 fields populated. Healthy.",n/a - no change proposed.,NO
152921604412,body-solid-bfab-20-b-best-fitness-semi-recumbent-ab-bench-new,Body-Solid BFAB20B Best Fitness Semi Recumbent Ab Bench (New),1,1,4,,,KEEP,"Live, single-product record, 4 fields populated. Healthy.",n/a - no change proposed.,NO
136051327292,body-solid-bfab-20-best-fitness-semi-recumbent-ab-bench-new,Body-Solid BFAB20 Best Fitness Semi Recumbent Ab Bench (New),1,1,4,,,KEEP,"Live, single-product record, 4 fields populated. Healthy.",n/a - no change proposed.,NO
240068165948,body-solid-bfcco-10-b-best-fitness-cable-crossover-new,Body-Solid BFCCO10B Best Fitness Cable Crossover (New),1,1,4,,,KEEP,"Live, single-product record, 4 fields populated. Healthy.",n/a - no change proposed.,NO
136045265212,body-solid-bfcco-10-best-fitness-cable-crossover-new,Body-Solid BFCCO10 Best Fitness Cable Crossover (New),1,1,4,,,KEEP,"Live, single-product record, 4 fields populated. Healthy.",n/a - no change proposed.,NO
174107459900,body-solid-bfct-1-b-cross-trainer-elliptical-new,Body-Solid BFCT1B Cross Trainer Elliptical (New),1,1,5,,,KEEP,"Live, single-product record, 5 fields populated. Healthy.",n/a - no change proposed.,NO
136051917116,body-solid-bfct-1-cross-trainer-elliptical-new,Body-Solid BFCT1 Cross Trainer Elliptical (New),1,1,5,,,KEEP,"Live, single-product record, 5 fields populated. Healthy.",n/a - no change proposed.,NO
136052146492,body-solid-bfdr-10-b-best-fitness-dumbbell-rack-new,Body Solid BFDR10B Best Fitness Dumbbell Rack (New),1,1,4,,,KEEP,"Live, single-product record, 4 fields populated. Healthy.",n/a - no change proposed.,NO
136045953340,body-solid-bfdr-10-best-fitness-dumbbell-rack-new,Body Solid BFDR10 Best Fitness Dumbbell Rack (New),0,0,4,,,ARCHIVE CANDIDATE,Orphan: zero back-reference metafields; no live template can reach it.,Low - nothing renders it. Recoverable only from the export in this packet.,YES
136052212028,body-solid-bffid-10-best-fitness-fid-bench-new,Body-Solid BFFID10 Best Fitness FID Bench (New),1,1,4,,,KEEP,"Live, single-product record, 4 fields populated. Healthy.",n/a - no change proposed.,NO
207825174844,body-solid-bffid-25-b-adjustable-weight-bench-new,Body-Solid BFFID25B Adjustable Weight Bench (New),1,1,4,,,KEEP,"Live, single-product record, 4 fields populated. Healthy.",n/a - no change proposed.,NO
159828967740,body-solid-bfft-10-b-best-fitness-functional-trainer-new,Body-Solid BFFT10B Best Fitness Functional Trainer (New),1,1,4,,,KEEP,"Live, single-product record, 4 fields populated. Healthy.",n/a - no change proposed.,NO
136052441404,body-solid-bfft-10-best-fitness-functional-trainer-new,Body-Solid BFFT10 Best Fitness Functional Trainer (New),1,1,4,,,KEEP,"Live, single-product record, 4 fields populated. Healthy.",n/a - no change proposed.,NO
136052834620,body-solid-bfhyp-10-best-fitness-ab-board-hyper-extension-new,Body-Solid BFHYP10 Best Fitness Ab Board HyperExtension (New),1,1,6,,,KEEP,"Live, single-product record, 6 fields populated. Healthy.",n/a - no change proposed.,NO
174114603324,body-solid-bfinver-10-b-best-fitness-inversion-table-new,Body-Solid BFINVER10B Best Fitness Inversion Table (New),1,1,4,,,KEEP,"Live, single-product record, 4 fields populated. Healthy.",n/a - no change proposed.,NO
136052965692,body-solid-bfinver-10-best-fitness-inversion-table-new,Body-Solid BFINVER10 Best Fitness Inversion Table (New),1,1,4,,,KEEP,"Live, single-product record, 4 fields populated. Healthy.",n/a - no change proposed.,NO
160008110396,body-solid-bfla-100-b-best-fitness-lat-attachment-for-bfpr-100-new,Body-Solid BFLA100B Best Fitness Lat Attachment for BFPR100 (New),1,1,4,,,KEEP,"Live, single-product record, 4 fields populated. Healthy.",n/a - no change proposed.,NO
136053096764,body-solid-bfla-100-best-fitness-lat-attachment-for-bfpr-100-new,Body-Solid BFLA100 Best Fitness Lat Attachment for BFPR100 (New),1,1,4,,,KEEP,"Live, single-product record, 4 fields populated. Healthy.",n/a - no change proposed.,NO
136053260604,body-solid-bfla-250-best-fitness-lat-attachment-for-bfsm-250-new,Body-Solid BFLA250 Best Fitness Lat Attachment for BFSM250 (New),1,1,4,,,KEEP,"Live, single-product record, 4 fields populated. Healthy.",n/a - no change proposed.,NO
160010928444,body-solid-bfmc-10-b-best-fitness-mountain-climber-new,Body-Solid BFMC10B Best Fitness Mountain Climber (New),1,1,4,,,KEEP,"Live, single-product record, 4 fields populated. Healthy.",n/a - no change proposed.,NO
136053326140,body-solid-bfmc-10-best-fitness-mountain-climber-new,Body-Solid BFMC10 Best Fitness Mountain Climber (New),1,0,4,,,ARCHIVE CANDIDATE,Referenced only by non-live products (statuses: DRAFT). No customer-facing surface.,Medium - archiving/reactivating the product later would need the record back.,YES
136053784892,body-solid-bfmg-10-best-fitness-sportsman-gym-new,Body-Solid BFMG10 Best Fitness Sportsman Gym (New),1,1,4,,,KEEP,"Live, single-product record, 4 fields populated. Healthy.",n/a - no change proposed.,NO
208007758140,body-solid-bfmg-20-b-sportsman-gym-new,Body-Solid BFMG20B Sportsman Gym (New),1,1,5,,,KEEP,"Live, single-product record, 5 fields populated. Healthy.",n/a - no change proposed.,NO
136053883196,body-solid-bfmg-20-best-fitness-sportsman-home-gym-new,Body-Solid BFMG20 Best Fitness Sportsman Home Gym (New),1,0,5,,,ARCHIVE CANDIDATE,Referenced only by non-live products (statuses: DRAFT). No customer-facing surface.,Medium - archiving/reactivating the product later would need the record back.,YES
174347682108,body-solid-bfob-10-b-best-fitness-olympic-bench-w-leg-developer-new,Body-Solid BFOB10B Best Fitness Olympic Bench w/ Leg Developer (New),1,1,4,,,KEEP,"Live, single-product record, 4 fields populated. Healthy.",n/a - no change proposed.,NO
136054112572,body-solid-bfob-10-best-fitness-oly-folding-bench-new,Body-Solid BFOB10 Best Fitness Oly Folding Bench (New),1,1,4,,,KEEP,"Live, single-product record, 4 fields populated. Healthy.",n/a - no change proposed.,NO
136054440252,body-solid-bfpl-10-r-best-fitness-leg-developer-preacher-curl-attachment-new,Body-Solid BFPL10R Best Fitness Leg Developer & Preacher Curl Attachment (New),1,1,4,,,KEEP,"Live, single-product record, 4 fields populated. Healthy.",n/a - no change proposed.,NO
136055030076,body-solid-bfpr-100-r-best-fitness-power-rack-new,Body-Solid BFPR100R Best Fitness Power Rack (New),1,1,4,,,KEEP,"Live, single-product record, 4 fields populated. Healthy.",n/a - no change proposed.,NO
160014369084,body-solid-bfrb-1-b-best-fitness-recumbent-bike-new,Body-Solid BFRB1B Best Fitness Recumbent Bike (New),1,1,4,,,KEEP,"Live, single-product record, 4 fields populated. Healthy.",n/a - no change proposed.,NO
136055226684,body-solid-bfrb-1-best-fitness-recumbent-bike-new,Body-Solid BFRB1 Best Fitness Recumbent Bike (New),1,1,4,,,KEEP,"Live, single-product record, 4 fields populated. Healthy.",n/a - no change proposed.,NO
136055259452,body-solid-bfsb-5-best-fitness-chain-indoor-cycle-bike-new,Body-Solid BFSB5 Best Fitness Chain Indoor Cycle Bike (New),1,1,4,,,KEEP,"Live, single-product record, 4 fields populated. Healthy.",n/a - no change proposed.,NO
208032366908,body-solid-bfsm-250-b-best-fitness-smith-machine-new,Body-Solid BFSM250B Best Fitness Smith Machine (New),1,1,4,,,KEEP,"Live, single-product record, 4 fields populated. Healthy.",n/a - no change proposed.,NO
136055718204,body-solid-bfsm-250-best-fitness-smith-machine-new,Body Solid BFSM250 Best Fitness Smith Machine (New),1,1,6,,,KEEP,"Live, single-product record, 6 fields populated. Healthy.",n/a - no change proposed.,NO
136056111420,body-solid-bfsm-250-p-2-best-fitness-smith-machine-package-with-lat-attachment-new,Body Solid BFSM250P2 Best Fitness Smith Machine Package with Lat Attachment (New),1,1,4,,,KEEP,"Live, single-product record, 4 fields populated. Healthy.",n/a - no change proposed.,NO
136058241340,body-solid-bfsr-10-best-fitness-squat-rack-new,Body-Solid BFSR10 Best Fitness Squat Rack (New),1,1,4,,,KEEP,"Live, single-product record, 4 fields populated. Healthy.",n/a - no change proposed.,NO
136058667324,body-solid-bfvk-10-b-best-fitness-vertical-knee-raise-new,Body-Solid BFVK10B Best Fitness Vertical Knee Raise (New),1,1,4,,,KEEP,"Live, single-product record, 4 fields populated. Healthy.",n/a - no change proposed.,NO
136059126076,body-solid-bfvk-10-r-best-fitness-vertical-knee-raise-new,Body-Solid BFVK10R Best Fitness Vertical Knee Raise (New),0,0,4,,,ARCHIVE CANDIDATE,Orphan: zero back-reference metafields; no live template can reach it.,Low - nothing renders it. Recoverable only from the export in this packet.,YES
160016793916,body-solid-bfwt-10-b-best-fitness-weight-tree-bar-holder-new,Body-Solid BFWT10B Best Fitness Weight Tree & Bar Holder (New),1,1,4,,,KEEP,"Live, single-product record, 4 fields populated. Healthy.",n/a - no change proposed.,NO
136059322684,body-solid-bfwt-10-best-fitness-weight-tree-bar-holder-new,Body-Solid BFWT10 Best Fitness Weight Tree & Bar Holder (New),1,1,4,,,KEEP,"Live, single-product record, 4 fields populated. Healthy.",n/a - no change proposed.,NO
136059420988,body-solid-bfwt-5-best-fitness-weight-plate-tree-new,Body-Solid BFWT5 Best Fitness Weight Plate Tree (New),1,1,4,,,KEEP,"Live, single-product record, 4 fields populated. Healthy.",n/a - no change proposed.,NO
136061714748,body-solid-bsglpx-leg-press-attachment-for-the-bsg-10-x-new,Body-Solid BSGLPX Leg Press Attachment For The BSG10X (New),1,1,4,,,KEEP,"Live, single-product record, 4 fields populated. Healthy.",n/a - no change proposed.,NO
226977022268,body-solid-bsld-apu,Body-Solid Aluminum Pulley Upgrade (New),1,1,5,,,KEEP,"Live, single-product record, 5 fields populated. Healthy.",n/a - no change proposed.,NO
135522419004,body-solid-bsldg-2-b-apu-aluminum-pulley-upgrade-new,Body-Solid BSLDG2B-APU Aluminum Pulley Upgrade (New),1,0,4,,,ARCHIVE CANDIDATE,Referenced only by non-live products (statuses: ARCHIVED). No customer-facing surface.,Medium - archiving/reactivating the product later would need the record back.,YES
136061878588,body-solid-bstab-1-tools-ab-wheel-new,Body-Solid BSTAB1 Tools Ab Wheel (New),1,1,4,,,KEEP,"Live, single-product record, 4 fields populated. Healthy.",n/a - no change proposed.,NO
135518945596,body-solid-bstart-5-pack-ankle-cuff-resistance-tubes-new,Body-Solid BSTART-5PACK Ankle Cuff Resistance Tubes (New),1,1,4,,,KEEP,"Live, single-product record, 4 fields populated. Healthy.",n/a - no change proposed.,NO
136061976892,body-solid-bstaw-10-ankle-weights-10-lbs-new,Body-Solid BSTAW10 Ankle Weights 10 lbs. (New),1,1,4,,,KEEP,"Live, single-product record, 4 fields populated. Healthy.",n/a - no change proposed.,NO
136062402876,body-solid-bstaw-20-ankle-weights-20-lbs-new,Body-Solid BSTAW20 Ankle Weights 20 lbs. (New),1,1,4,,,KEEP,"Live, single-product record, 4 fields populated. Healthy.",n/a - no change proposed.,NO
136062665020,body-solid-bstb-1-tools-resistance-band-1-2-orange-new,"Body Solid BSTB1 Tools Resistance Band - 1/2"" Orange (New)",1,1,5,,,KEEP,"Live, single-product record, 5 fields populated. Healthy.",n/a - no change proposed.,NO
136063025468,body-solid-bstb-2-tools-resistance-band-3-4-green-new,"Body Solid BSTB2 Tools Resistance Band - 3/4"" Green (New)",1,1,5,,,KEEP,"Live, single-product record, 5 fields populated. Healthy.",n/a - no change proposed.,NO
136063123772,body-solid-bstb-3-tools-resistance-band-1-1-8-red-new,"Body Solid BSTB3 Tools Resistance Band - 1 1/8"" Red (New)",1,1,5,,,KEEP,"Live, single-product record, 5 fields populated. Healthy.",n/a - no change proposed.,NO
136063353148,body-solid-bstb-4-tools-resistance-band-1-3-4-blue-new,"Body Solid BSTB4 Tools Resistance Band - 1 3/4"" Blue (New)",1,1,5,,,KEEP,"Live, single-product record, 5 fields populated. Healthy.",n/a - no change proposed.,NO
136064172348,body-solid-bstb-5-tools-resistance-band-2-1-2-purple-new,"Body Solid BSTB5 Tools Resistance Band - 2 1/2"" Purple (New)",1,1,5,,,KEEP,"Live, single-product record, 5 fields populated. Healthy.",n/a - no change proposed.,NO
136064401724,body-solid-bstbr-1530-fitness-training-rope-1-5-in-dia-30-ft-new,Body-Solid BSTBR1530 Fitness Training Rope 1.5 in. dia. - 30 ft. (New),1,1,4,,,KEEP,"Live, single-product record, 4 fields populated. Healthy.",n/a - no change proposed.,NO
136064467260,body-solid-bstbr-1540-fitness-training-rope-1-5-in-dia-40-ft-new,Body-Solid BSTBR1540 Fitness Training Rope 1.5 in. dia. - 40 ft. (New),1,1,4,,,KEEP,"Live, single-product record, 4 fields populated. Healthy.",n/a - no change proposed.,NO
136064729404,body-solid-bstbr-1550-fitness-training-rope-1-5-in-dia-50-ft-new,Body-Solid BSTBR1550 Fitness Training Rope 1.5 in. dia. - 50 ft. (New),1,1,4,,,KEEP,"Live, single-product record, 4 fields populated. Healthy.",n/a - no change proposed.,NO
136064827708,body-solid-bstbr-2030-fitness-training-rope-2-in-dia-30-ft-new,Body-Solid BSTBR2030 Fitness Training Rope 2 in. dia. - 30 ft (New),1,1,4,,,KEEP,"Live, single-product record, 4 fields populated. Healthy.",n/a - no change proposed.,NO
136065024316,body-solid-bstbr-2040-fitness-training-rope-2-in-dia-40-ft-new,Body-Solid BSTBR2040 Fitness Training Rope 2 in. dia. - 40 ft. (New),1,1,4,,,KEEP,"Live, single-product record, 4 fields populated. Healthy.",n/a - no change proposed.,NO
136065057084,body-solid-bstbr-2050-fitness-training-rope-2-in-dia-50-ft-new,Body-Solid BSTBR2050 Fitness Training Rope 2 in. dia. - 50 ft. (New),1,1,4,,,KEEP,"Live, single-product record, 4 fields populated. Healthy.",n/a - no change proposed.,NO
136065483068,body-solid-bstcb-cannonball-grips-pair-new,Body-Solid BSTCB Cannonball Grips (Pair) (New),1,1,4,,,KEEP,"Live, single-product record, 4 fields populated. Healthy.",n/a - no change proposed.,NO
136066072892,body-solid-bstch-44-weightlifting-chains-pair-new,Body-Solid BSTCH44 Weightlifting Chains (Pair) (New),1,1,4,,,KEEP,"Live, single-product record, 4 fields populated. Healthy.",n/a - no change proposed.,NO
136068268348,body-solid-bstdb-dog-bone-grip-new,Body-Solid BSTDB Dog Bone Grip (New),1,1,4,,,KEEP,"Live, single-product record, 4 fields populated. Healthy.",n/a - no change proposed.,NO
136679588156,body-solid-bstdmb-10-dual-grip-medicine-ball-10-lbs-new,Body Solid BSTDMB10 Dual-Grip Medicine Ball - 10 lbs. (New),1,1,4,,,KEEP,"Live, single-product record, 4 fields populated. Healthy.",n/a - no change proposed.,NO
136679817532,body-solid-bstdmb-12-dual-grip-medicine-ball-12-lbs-new,Body Solid BSTDMB12 Dual-Grip Medicine Ball - 12 lbs. (New),1,1,4,,,KEEP,"Live, single-product record, 4 fields populated. Healthy.",n/a - no change proposed.,NO
136679915836,body-solid-bstdmb-14-dual-grip-medicine-ball-14-lbs-new,Body Solid BSTDMB14 Dual-Grip Medicine Ball - 14 lbs. (New),1,1,4,,,KEEP,"Live, single-product record, 4 fields populated. Healthy.",n/a - no change proposed.,NO
136680046908,body-solid-bstdmb-16-dual-grip-medicine-ball-16-lbs-new,Body Solid BSTDMB16 Dual-Grip Medicine Ball - 16 lbs. (New),1,1,4,,,KEEP,"Live, single-product record, 4 fields populated. Healthy.",n/a - no change proposed.,NO
136680112444,body-solid-bstdmb-18-dual-grip-medicine-ball-18-lbs-new,Body Solid BSTDMB18 Dual-Grip Medicine Ball - 18 lbs. (New),1,1,4,,,KEEP,"Live, single-product record, 4 fields populated. Healthy.",n/a - no change proposed.,NO
136683454780,body-solid-bstdmb-20-dual-grip-medicine-ball-20-lbs-new,Body Solid BSTDMB20 Dual-Grip Medicine Ball - 20 lbs. (New),1,1,4,,,KEEP,"Live, single-product record, 4 fields populated. Healthy.",n/a - no change proposed.,NO
136683553084,body-solid-bstdmb-25-dual-grip-medicine-ball-25-lbs-new,Body Solid BSTDMB25 Dual-Grip Medicine Ball - 25 lbs. (New),1,0,4,,,ARCHIVE CANDIDATE,Referenced only by non-live products (statuses: ARCHIVED). No customer-facing surface.,Medium - archiving/reactivating the product later would need the record back.,YES
136683618620,body-solid-bstdmb-6-dual-grip-medicine-ball-6-lbs-new,Body Solid BSTDMB6 Dual-Grip Medicine Ball - 6 lbs. (New),1,0,4,,,ARCHIVE CANDIDATE,Referenced only by non-live products (statuses: ARCHIVED). No customer-facing surface.,Medium - archiving/reactivating the product later would need the record back.,YES
136683716924,body-solid-bstdmb-8-dual-grip-medicine-ball-8-lbs-new,Body Solid BSTDMB8 Dual-Grip Medicine Ball - 8 lbs. (New),1,0,4,,,ARCHIVE CANDIDATE,Referenced only by non-live products (statuses: ARCHIVED). No customer-facing surface.,Medium - archiving/reactivating the product later would need the record back.,YES
136683979068,body-solid-bstfb-12-fitness-bar-12-lbs-green-new,Body Solid BSTFB12 Fitness Bar 12 lbs. - Green (New),0,0,4,,,ARCHIVE CANDIDATE,Orphan: zero back-reference metafields; no live template can reach it.,Low - nothing renders it. Recoverable only from the export in this packet.,YES
136684273980,body-solid-bstfb-15-fitness-bar-15-lbs-red-new,Body Solid BSTFB15 Fitness Bar 15 lbs. - Red (New),0,0,4,,,ARCHIVE CANDIDATE,Orphan: zero back-reference metafields; no live template can reach it.,Low - nothing renders it. Recoverable only from the export in this packet.,YES
136684634428,body-solid-bstfb-18-fitness-bar-18-lbs-blue-new,Body Solid BSTFB18 Fitness Bar 18 lbs. - Blue (New),0,0,4,,,ARCHIVE CANDIDATE,Orphan: zero back-reference metafields; no live template can reach it.,Low - nothing renders it. Recoverable only from the export in this packet.,YES
136684798268,body-solid-bstfb-24-fitness-bar-24-lbs-purple-new,Body Solid BSTFB24 Fitness Bar 24 lbs. - Purple (New),0,0,4,,,ARCHIVE CANDIDATE,Orphan: zero back-reference metafields; no live template can reach it.,Low - nothing renders it. Recoverable only from the export in this packet.,YES
136684994876,body-solid-bstfb-30-fitness-bar-30-lbs-magenta-new,Body Solid BSTFB30 Fitness Bar 30 lbs. - Magenta (New),0,0,4,,,ARCHIVE CANDIDATE,Orphan: zero back-reference metafields; no live template can reach it.,Low - nothing renders it. Recoverable only from the export in this packet.,YES
136685093180,body-solid-bstfb-36-fitness-bar-36-lbs-gray-new,Body Solid BSTFB36 Fitness Bar 36 lbs. - Gray (New),0,0,4,,,ARCHIVE CANDIDATE,Orphan: zero back-reference metafields; no live template can reach it.,Low - nothing renders it. Recoverable only from the export in this packet.,YES
136685289788,body-solid-bstfb-4-fitness-bar-4-lbs-orange-new,Body Solid BSTFB4 Fitness Bar 4 lbs. - Orange (New),0,0,4,,,ARCHIVE CANDIDATE,Orphan: zero back-reference metafields; no live template can reach it.,Low - nothing renders it. Recoverable only from the export in this packet.,YES
136685388092,body-solid-bstfb-6-fitness-bar-6-lbs-light-purple-new,Body Solid BSTFB6 Fitness Bar 6 lbs. - Light Purple (New),0,0,4,,,ARCHIVE CANDIDATE,Orphan: zero back-reference metafields; no live template can reach it.,Low - nothing renders it. Recoverable only from the export in this packet.,YES
136685814076,body-solid-bstfb-9-fitness-bar-9-lbs-yellow-new,Body Solid BSTFB9 Fitness Bar 9 lbs. - Yellow (New),0,0,4,,,ARCHIVE CANDIDATE,Orphan: zero back-reference metafields; no live template can reach it.,Low - nothing renders it. Recoverable only from the export in this packet.,YES
136069087548,body-solid-bstfitbag-tools-fitness-pack-new,Body-Solid BSTFITBAG Tools Fitness Pack (New),1,1,5,,,KEEP,"Live, single-product record, 5 fields populated. Healthy.",n/a - no change proposed.,NO
