row,group,parent_variant_id,purchase_type,set_type,weight,child_product_id,child_variant_id,purchasable_sku,child_handle,status,price_usd,inventory,product_type,legacy_gmc_id,gmc_id_rollout_status,google_youtube_channel,shop_channel,current_google_feed_presence,proposed_google_feed_id
40,Set,53097450864956,Sets,Dumbbells Only,55-75 lbs,10347757502780,52925461070140,FF-RCHD55-75,french-fitness-rubber-coated-hex-dumbbell-set-55-75-lbs-new,ACTIVE,1079.10,9996,Product (Hidden),,,FALSE,FALSE,via old-parent variant row only,PENDING (bare product ID vs legacy SKU)
41,Set,53142261039420,Sets,Dumbbells Only,5-60 lbs,10409951527228,53141976383804,FF-RCHD5-60,french-fitness-rubber-coated-hex-dumbbell-set-5-60-lbs-new,ACTIVE,1399.00,9999,Product (Hidden),,,FALSE,FALSE,via old-parent variant row only,PENDING (bare product ID vs legacy SKU)
42,Set,53097450635580,Sets,Dumbbells Only,105-120 lbs,10347758092604,52925461725500,FF-RCHD105-120,french-fitness-rubber-coated-hex-dumbbell-set-105-120-lbs-new,ACTIVE,1529.10,9995,Product (Hidden),,,FALSE,FALSE,via old-parent variant row only,PENDING (bare product ID vs legacy SKU)
43,Set,53097450897724,Sets,Dumbbells Only,80-100 lbs,10347758190908,52925461791036,FF-RCHD80-100,french-fitness-rubber-coated-hex-dumbbell-set-80-100-lbs-new,ACTIVE,1529.10,9999,Product (Hidden),,,FALSE,FALSE,via old-parent variant row only,PENDING (bare product ID vs legacy SKU)
44,Set,53097450799420,Sets,Dumbbells Only,5-75 lbs,10347758485820,52925462085948,FF-RCHD5-75,french-fitness-rubber-coated-hex-dumbbell-set-5-75-lbs-new,ACTIVE,1979.10,9993,Product Index,FF-RCHD5-75,approved,FALSE,FALSE,standalone (duplicate with old-parent row),FF-RCHD5-75 (unchanged)
45,Set,53097450832188,Sets,Dumbbells Only,55-100 lbs,10347758682428,52925462282556,FF-RCHD55-100,french-fitness-rubber-coated-hex-dumbbell-set-55-100-lbs-new,ACTIVE,2519.10,9991,Product (Hidden),,,FALSE,FALSE,via old-parent variant row only,PENDING (bare product ID vs legacy SKU)
46,Set,53097450733884,Sets,Dumbbells Only,5-100 lbs,10347757797692,52925461397820,FF-RCHD5-100,french-fitness-rubber-coated-hex-dumbbell-set-5-100-lbs-new,ACTIVE,3329.10,9986,Product Index,FF-RCHD5-100,approved,FALSE,FALSE,standalone (duplicate with old-parent row),FF-RCHD5-100 (unchanged)
47,Set,53142260973884,Sets,Dumbbells Only,105-150 lbs,10410015490364,53142101000508,FF-RCHD105-150,french-fitness-rubber-coated-hex-dumbbell-set-105-150-lbs-new,ACTIVE,4699.00,9999,Product (Hidden),,,FALSE,FALSE,via old-parent variant row only,PENDING (bare product ID vs legacy SKU)
48,Set,53142261006652,Sets,Dumbbells Only,5-150 lbs,10410065920316,53142195175740,FF-RCHD5-150,french-fitness-rubber-coated-hex-dumbbell-set-5-150-lbs-new,ACTIVE,8499.00,9999,Product (Hidden),,,FALSE,FALSE,via old-parent variant row only,PENDING (bare product ID vs legacy SKU)
49,Package,53097451028796,Sets,With Rack,5-50 lbs,9878576955708,50748397650236,FF-RCHD5-50-R,french-fitness-rubber-hex-dumbbell-set-5-to-50-lbs-w-rack-new,ACTIVE,1369.10,9973,Product Index,FF-RCHD5-50-R,approved,TRUE,TRUE,standalone,FF-RCHD5-50-R (unchanged)
50,Package,53097450996028,Sets,With Bench + Rack,5-50 lbs,9878577578300,50748401090876,FF-RCHD5-50-RB,french-fitness-rubber-hex-dumbbell-set-5-to-50-lbs-w-bench-rack-new,ACTIVE,2159.10,9994,Product Index,FF-RCHD5-50-RB,approved,TRUE,TRUE,standalone,FF-RCHD5-50-RB (unchanged)
51,Package,53097451061564,Sets,With Rack,5-75 lbs,9878580527420,50748406661436,FF-RCHD5-75R,french-fitness-rubber-hex-dumbbell-set-5-to-75-lbs-w-3-tier-dumbbell-rack-new,ACTIVE,2519.10,9970,Product Index,FF-RCHD5-75R,approved,TRUE,TRUE,standalone,FF-RCHD5-75R (unchanged)
52,Package,53097451094332,Sets,With Bench + Rack,5-75 lbs,9878581051708,50748407349564,FF-RCHD5-75RB,french-fitness-rubber-hex-dumbbell-set-5-to-75-lbs-w-bench-3-tier-dumbbell-rack-new,ACTIVE,3149.10,9997,Product Index,FF-RCHD5-75RB,approved,TRUE,TRUE,standalone,FF-RCHD5-75RB (unchanged)
53,Package,53097451127100,Sets,With Rack,5-100 lbs,9878575219004,50748394504508,FF-RCHD5-100-R,french-fitness-rubber-hex-dumbbell-set-5-100-lbs-w-2-3-tier-dumbbell-racks-new,ACTIVE,4949.10,9994,Product Index,FF-RCHD5-100-R,approved,TRUE,TRUE,standalone,FF-RCHD5-100-R (unchanged)
54,Package,53097450963260,Sets,With Bench + Rack,5-100 lbs,9878575612220,50748395028796,FF-RCHD5-100-RB,french-fitness-rubber-hex-dumbbell-set-5-to-100-lbs-w-bench-2-3-tier-dumbbell-racks-new,ACTIVE,5399.10,9998,Product Index,FF-RCHD5-100-RB,approved,TRUE,TRUE,standalone,FF-RCHD5-100-RB (unchanged)
